Nick,Discord
BEE Xiellendario,xiellendario
zzhcet,Techzz
BEE Itachi,O itachí
FOUR SaintOz,SaintOz
PedroBanana,Pedroca
JosneyQT,JosneyQT
KDA ConsTanTine,Constantine
Godi,Godi
BES Midor1ya,Midor1ya
FOUR Bieul,Bieul
vMetangTTV,vMetang
BES Inc mplete,inc mplete
BEE Soft,Soft
NDL Carlão,carluuuuuus
vovô nuco,Eunuco
D Pazzini,Pazzini
BES Toddy,T F Toddy
BES Vipi,vipi
KDA Guiczar,Guiczar
TFX D klein,TFx D klein
KDA Wenked,wenked
Felipeanjos,hr felipeeanjos
FOUR Steps Days,Gabriel Passos
The Nextt,Ludouz
Miguel Arkjow,Miguel Arkjow
BEE Phelpz13,Phelpz13
FOUR Jhin,Jhin
TMT Xaue,Xaue
Highroller Bnas,b-nao
Erith,João Vittor Deichmann
FOUR Koke,koke TFT
EMS Sartii,Sartii  
