Nick,Pontos
BEE Phelpz13,34
TMT Xaue,34
BES Midor1ya,33
vMetangTTV,32
EMS Sartii,32
BES Toddy,32
FOUR Steps Days,31
FOUR Koke,31
Nyash,29
FOUR Jhin,28
Highroller Bnas,27
BEE Soft,26
Alterna,26
BES Inc mplete,26
Di Pano,26
TchxuumaiY,25
KDA ConsTanTine,25
D Pazzini,23
KDA Wenked,23
TFX D klein,23
zzhcet,23
perfect comp tft,23
Felipeanjos,22
Miguel Arkjow,22
FOUR Bieul,21
F 0 J O,21
BEE Itachi,20
PedroBanana,20
FOUR SaintOz,20
JosneyQT,20
KDA Guiczar,20
ll The Exile ll,20
BES Vipi,19
NDL Carlão,19
Faret,18
Missão,18
The Nextt,18
Noslide55,17
AI CE TOMA,16
Senhor Mindua,16
TheGoodMamate,16
Kazzumii,15
Dino Lothbrok,14
Mgk fan,13
Greed Farkas,13
TMT Sneaky1,13
BEE Xiellendario,13
Capotei o cherry,13
CheckMate,13
Eme3rs0n,12
Salgatinho,12
Dipow,12
epilef1993,10
Erith,8
Godi,6
enzomir23,6
