Player,Pontos
vMetangTTV,68
BEE Phelpz13,67
BES Midor1ya,65
Miguel Arkjow,58
BES Toddy,57
KDA Guiczar,56
FOUR Steps Days,54
vovô nuco,54
FOUR Koke,53
BEE Soft,52
EMS Sartii,52
zzhcet,52
KDA ConsTanTine,51
FOUR Bieul,51
BES Vipi,50
TMT Xaue,49
BEE Itachi,46
JosneyQT,45
Kazzumii,45
Highroller Bnas,45
FOUR Jhin,44
BEE Xiellendario,44
FOUR SaintOz,44
KDA Wenked,44
Di Pano,43
BES Inc mplete,42
PedroBanana,42
Nyash,42
TFX D klein,41
Felipeanjos,40
The Nextt,40
ll The Exile ll,40
NDL Carlão,39
Erith,39
perfect comp tft,39
Noslide55,38
D Pazzini,38
TchxuunaiY,38
Godi,37
Dino Lothbrok,37
TMT Sneaky1,36
AI CE TOMA,36
TheGoodMamate,35
F 0 J O,35
xQc,34
Missão,34
Senhor Mindua,31
Faret,31
CheckMate,29
Salgatinho,27
enzomir23,27
Capotei o cherry,26
epilef1993,24
Greed Farkas,24
Dipow,24
Eme3rs0n,23
