,Nick,Pontos
1,BES Toddy,256
2,Miguel Arkjow,249
3,BEE Xiellendario,248
4,BES Midor1ya,247
5,BES Vipi,244
6,FOUR Bieul,240
7,BEE Phelpz13,237
8,FOUR Jhin,237
9,zzhcet,232
10,vMetangTTV,230
11,TMT Xaue,223
12,KDA Guiczar,220
13,BEE Itachi,218
14,TFX D klein,217
15,BES Inc mplete,217
16,FOUR SaintOz,214
17,Highroller Bnas,205
18,KDA Wenked,204
19,JosneyQT,204
20,PedroBanana,202
21,Felipeanjos,199
22,Erith,196
23,FOUR Steps Days,193
24,vovô nuco,188
25,FOUR Koke,188
26,NDL Carlão,186
27,BEE Soft,184
28,D Pazzini,182
29,KDA ConsTanTine,180
30,EMS Sartii,174
31,The Nextt,168
32,Godi,166
