,Nick,Jogo 1,Jogo 2,Jogo 3,Jogo 4,Pontos
1,Gabriel Passos,0,0,0,0,0
2,carluuuuuus,0,0,0,0,0
3,Xaue,0,0,0,0,0
4,xiellendario,0,0,0,0,0
5,Leo peixoto,0,0,0,0,0
6,BES Toddy,0,0,0,0,0
7,Highroller Bnas ,0,0,0,0,0
8,Nyash,0,0,0,0,0
9,Eddd ,0,0,0,0,0
10,random3,0,0,0,0,0
11,KDA Guiczar ,0,0,0,0,0
12,Bieul,0,0,0,0,0
13,Kyoto ,0,0,0,0,0
14,Techzz,0,0,0,0,0
15,F 0 J O,0,0,0,0,0
16,random2,0,0,0,0,0
17,Pedroca,0,0,0,0,0
18,Kazumi,0,0,0,0,0
19,Guilherme Maximiano ,0,0,0,0,0
20,Missao ,0,0,0,0,0
21,Godi ,0,0,0,0,0
22,Sartii,0,0,0,0,0
23,Pazzini,0,0,0,0,0
24,random1,0,0,0,0,0
25,Dugra,0,0,0,0,0
26,Miguel Arkjow ,0,0,0,0,0
27,koke TFT ,0,0,0,0,0
28,random5,0,0,0,0,0
29,DiPano ,0,0,0,0,0
30,Maahs,0,0,0,0,0
31,Eunuco,0,0,0,0,0
32,random4 ,0,0,0,0,0
