Nick,Pontos
FOUR Steps Days,78
Salgatinho,54
Highroller Bnas,20
äIterna,16
PedroBanana,6
TchxuunaiY,0
BES Vipi,0
CheckMate,0
FOUR Jhin,0
FOUR Koke,0
Mgk fan,0
BEE Itachi,0
Erith,0
Kazzumii,0
TheGoodMamate ,0
Four SaintOz,0
TMT Sneaky1,0
KDA Guiczar,0
Dipow,0
Nyash,0
BEE Xiellendario,0
BEE Phelpz13,0
JosneyQT,0
BEE Soft,0
BES Midor1ya,0
D Pazzini,0
BES inc mplete,0
Felipeeanjos,0
Senhor Mundia,0
TMT Xaue,0
Faret,0
TFX D klein,0
KDA wenked,0
EMS Sartii,0
Dino Lothbrok,0
AI CE TOMA,0
FOUR Bieul,0
KDA ConsTanTine,0
epilef1993,0
zzhcet,0
Greed Farkas,0
vMetangTTV,0
enzomir23,0
Noslide55,0
Eme3rs0n,0
Guilherme Maximiano ,0
Godi,0
DiPano,0
Missão,0
NDL Carlão,0
Capotei o cherry,0
F 0 J O,0
Miguel Arkjow,0
BES Toddy,0
The Nextt,0
perfect comp tft,0
