,Nick,Grupo
1,BEE Xiellendario,G1
8,zzhcet,G1
12,BEE Itachi,G1
16,FOUR SaintOz,G1
20,PedroBanana,G1
24,JosneyQT,G1
28,KDA ConsTanTine,G1
32,Godi,G1
2,BES Midor1ya,G2
7,FOUR Bieul,G2
11,vMetangTTV,G2
15,BES Inc mplete,G2
19,BEE Soft,G2
23,NDL Carlão,G2
27,vovô nuco,G2
31,D Pazzini,G2
3,BES Toddy,G3
6,BES Vipi,G3
10,KDA Guiczar,G3
14,TFX D klein,G3
18,KDA Wenked,G3
22,Felipeanjos,G3
26,FOUR Steps Days,G3
30,The Nextt,G3
4,Miguel Arkjow,G4
5,BEE Phelpz13,G4
9,FOUR Jhin,G4
13,TMT Xaue,G4
17,Highroller Bnas,G4
21,Erith,G4
25,FOUR Koke,G4
29,EMS Sartii,G4
